client_code,region,delegation,routing_code,home_commercial,jour_semaine,day_of_month,week_of_month,days_to_month_end,is_month_start,is_month_end,potentiel,nbr_visites_hist,nbr_visites_jour,days_since_last_order,vente_last,qte_last,docs_last,line_items_last,product_refs_last,vente_avg_3,qte_avg_3,docs_avg_3,line_items_avg_3,product_refs_avg_3,ca_last_7d,ca_last_30d,ca_last_60d,ca_last_90d,qte_last_7d,qte_last_30d,qte_last_60d,qte_last_90d,docs_last_30d,docs_last_90d,line_items_last_30d,line_items_last_90d,product_refs_last_30d,product_refs_last_90d,orders_last_7d,orders_last_30d,orders_last_60d,orders_last_90d,avg_ca_per_order_90d,avg_qte_per_order_90d,avg_docs_per_order_90d,avg_line_items_per_order_90d,avg_product_refs_per_order_90d,weekday_purchase_rate,days_since_last_same_weekday_order,days_between_last_orders,avg_days_between_orders_5,order_gap_ratio,recent_ca_trend,recent_qte_trend,avg_price_hist,month,date
06300,GT,ELMENZAH,Inconnue,1300,4,9,2,22,0,0,1.0,5.0,0,221.0,174.774,9.0,1.0,2.0,2.0,576.0326666666666,19.0,1.0,9.333333333333334,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,351.0,130.0,62.333333333333336,3.5454545454545454,0.0,0.0,28.482561643835613,7,2026-07-09
00260,GT,ELOUERDIA,1,1,4,9,2,22,0,0,0.0,4.0,0,27.0,27.238,1.0,1.0,1.0,1.0,59.949999999999996,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.0,27.238,65.90299999999999,65.90299999999999,0.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,32.951499999999996,1.5,1.0,1.5,1.5,0.0,999.0,7.0,258.0,0.10465116279069768,0.41330440192403994,0.3333333333333333,41.4176,7,2026-07-09
06050,SE,ARIANAVILLE,Inconnue,1300,4,9,2,22,0,0,1.0,4.0,0,216.0,38.453,12.0,1.0,1.0,1.0,49.720333333333336,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,7.0,150.5,1.435215946843854,0.0,0.0,11.036117647058823,7,2026-07-09
00087,SE,LASOUKRA,2,2,4,9,2,22,0,0,0.0,17.0,1,36.0,62.342,2.0,1.0,1.0,1.0,63.157666666666664,14.0,1.0,1.0,1.0,0.0,0.0,62.34200000000001,179.97500000000002,0.0,0.0,2.0,26.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,89.98750000000001,13.0,1.0,1.0,1.0,0.058823529411764705,36.0,36.0,43.6,0.8256880733944953,0.0,0.0,7.3123781512605035,7,2026-07-09
01280,SE,LASOUKRA,2,2,4,9,2,22,0,0,0.0,42.0,0,11.0,1145.393,30.0,1.0,8.0,8.0,136.196,3.3333333333333335,1.0,2.0,2.0,0.0,1145.393,1145.393,1145.393,0.0,30.0,30.0,30.0,1.0,1.0,8.0,8.0,8.0,8.0,0.0,1.0,1.0,1.0,1145.393,30.0,1.0,8.0,8.0,0.0,162.0,91.0,13.6,0.8088235294117647,1.0,1.0,9.141875939849625,7,2026-07-09
06702,GT,EZZOUHOUR,18,VL1900,4,9,2,22,0,0,1.0,25.0,1,213.0,19.906,1.0,1.0,1.0,1.0,27.129333333333335,21.666666666666668,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.04,225.0,12.0,11.0,19.363636363636363,0.0,0.0,1.2180541044776116,7,2026-07-09
04864,,RADES,1,1,4,9,2,22,0,0,0.0,12.0,0,65.0,170.7,53.0,1.0,3.0,3.0,31.992000000000008,9.0,1.0,1.0,1.0,0.0,0.0,0.0,170.7,0.0,0.0,0.0,53.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,170.7,53.0,1.0,3.0,3.0,0.0,155.0,35.0,16.8,3.869047619047619,0.0,0.0,4.341898550724638,7,2026-07-09
06759,GT,ELMOUROUJ,18,VL1900,4,9,2,22,0,0,1.0,16.0,0,202.0,28.935,12.0,1.0,1.0,1.0,22.236666666666668,8.666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,38.0,14.2,14.225352112676058,0.0,0.0,1.6829356223175964,7,2026-07-09
01292,GT,Inconnue,2,2,4,9,2,22,0,0,0.0,1.0,0,241.0,67.973,24.0,1.0,1.0,1.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,2.8322083333333334,7,2026-07-09
05800,,,1,1,4,9,2,22,0,0,0.0,2.0,0,43.0,38.153,24.0,1.0,1.0,1.0,16.022,60.0,1.0,1.0,1.0,0.0,0.0,38.153,38.153,0.0,0.0,24.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,38.153,24.0,1.0,1.0,1.0,0.0,43.0,165.0,30.0,1.0,0.0,0.0,0.6449404761904761,7,2026-07-09
00942,GT,,1,1,4,9,2,22,0,0,0.0,3.0,0,53.0,71.728,1.0,1.0,1.0,1.0,14.279,1.5,1.0,1.0,1.0,0.0,0.0,71.728,71.728,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,71.728,1.0,1.0,1.0,1.0,0.0,999.0,49.0,63.0,0.8412698412698413,0.0,0.0,25.0715,7,2026-07-09
00152,GT,Ariana_Ville,1,1,4,9,2,22,0,0,0.0,68.0,10,17.0,72.634,1.0,1.0,1.0,1.0,219.02733333333333,32.333333333333336,1.0,2.3333333333333335,2.3333333333333335,0.0,691.0509999999998,844.176,844.1760000000002,0.0,96.0,171.0,171.0,3.0,5.0,7.0,10.0,7.0,10.0,0.0,3.0,5.0,5.0,168.83520000000004,34.2,1.0,2.0,2.0,0.14705882352941177,155.0,4.0,21.6,0.787037037037037,0.8186101002634518,0.5614035087719298,8.242640591966174,7,2026-07-09
06829,GT,LEBARDO,18,VL1900,4,9,2,22,0,0,1.0,4.0,1,219.0,85.951,1.0,1.0,1.0,1.0,36.19766666666666,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.25,999.0,51.0,131.0,1.6717557251908397,0.0,0.0,4.5242790697674415,7,2026-07-09
07016,GRAND TUNIS,SIDIALOUENE,20,Inconnu,4,9,2,22,0,0,1.0,1.0,0,485.0,1053.74,169.0,1.0,14.0,14.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,6.235147928994083,7,2026-07-09
06391,SE,Inconnue,2,2,4,9,2,22,0,0,1.0,3.0,0,260.0,634.203,37.0,1.0,8.0,8.0,357.187,26.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,260.0,3.0,236.0,1.1016949152542372,0.0,0.0,15.152550561797753,7,2026-07-09
00058,,CARTHAGE,2,2,4,9,2,22,0,0,0.0,34.0,4,17.0,687.083,22.0,1.0,6.0,6.0,148.32799999999997,54.333333333333336,1.0,2.6666666666666665,2.6666666666666665,0.0,687.083,954.866,1275.5230000000001,0.0,22.0,63.0,187.0,1.0,5.0,6.0,16.0,6.0,16.0,0.0,1.0,3.0,5.0,255.10460000000003,37.4,1.0,3.2,3.2,0.11764705882352941,36.0,19.0,14.2,1.1971830985915493,0.5386676680859537,0.11764705882352941,8.07660162601626,7,2026-07-09
06020,SE,ARIANAVILLE,Inconnue,1300,4,9,2,22,0,0,1.0,5.0,0,284.0,38.583,1.0,1.0,1.0,1.0,23.588666666666665,3.0,1.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,393.0,109.0,42.333333333333336,6.708661417322834,0.0,0.0,13.553454545454544,7,2026-07-09
07013,GT,SOUSSEJAWHARA,20,36,4,9,2,22,0,0,1.0,1.0,0,487.0,259.404,51.0,1.0,5.0,5.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,5.086352941176471,7,2026-07-09
00259,GT,ELOUERDIA,1,1,4,9,2,22,0,0,0.0,27.0,0,13.0,23.699,24.0,1.0,1.0,1.0,19.099333333333334,9.0,1.0,1.3333333333333333,1.3333333333333333,0.0,39.041000000000004,80.99700000000001,104.69600000000001,0.0,25.0,51.0,75.0,2.0,5.0,2.0,6.0,2.0,6.0,0.0,2.0,4.0,5.0,20.939200000000003,15.0,1.0,1.2,1.2,0.0,197.0,14.0,19.6,0.6632653061224489,0.37289867807748145,0.3333333333333333,2.4802299741602063,7,2026-07-09
00028,GT,Inconnue,2,2,4,9,2,22,0,0,0.0,9.0,0,46.0,61.993,1.0,1.0,1.0,1.0,108.193,9.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,61.993,61.993,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,61.993,1.0,1.0,1.0,1.0,0.0,253.0,175.0,53.0,0.8679245283018868,0.0,0.0,13.37162,7,2026-07-09
01213,GT,Inconnue,2,2,4,9,2,22,0,0,0.0,1.0,0,137.0,130.508,24.0,1.0,1.0,1.0,57.097,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.097,5.0,1.0,1.0,1.0,0.0,999.0,30.0,30.0,1.0,0.0,0.0,5.437833333333334,7,2026-07-09
