client_code,famille_code,qte_moyenne
00000,BARBICAN,29.0
00000,BIJOUXOR,100.0
00000,KINDER,8.0
00000,NESQUIKBOX,8.0
00002,Alpenliebe,1.2142857142857142
00002,BARBICAN,22.516129032258064
00002,BARBICANTURBO,70.88888888888889
00002,BERRIES,6.4
00002,BIJOUXARG,100.0
00002,BIJOUXOR,10.0
00002,BISKREMCACAO,29.0
00002,BISKREMDUO,33.88235294117647
00002,BONBON FRUIT,1.1538461538461537
00002,CC070106,1.0
00002,CH CH BIG BABOL,1.0
00002,CHAMALLOWS,6.0
00002,CHUPACHUPS,1.0
00002,DUPLO,26.055555555555557
00002,FILIFOLLY,2.0
00002,FRESHACTIONCUP,2.0
00002,FUNNYMIX,8.0
00002,GAUFRETTELINGOT,1.0
00002,GOLD-BEARS,8.0
00002,GRAINDOR300G,0.8571428571428571
00002,GRAINDOR35G,10.0
00002,HAPPYCHERRIES,6.0
00002,HARIBO,6.0
00002,KAT KAT TAT,1.3333333333333333
00002,KINDER,21.402173913043477
00002,KITKAT,1.5
00002,Mc vities,2.0
00002,MENTOS3DFINSEAL,1.5
00002,MENTOSBLISTERWHITEGUM,1.4
00002,MENTOSPUREFRESH,1.0
00002,MENTOSPUREFRESHPB,1.0
00002,MENTOSROLLS 9P,1.0
00002,MENTOSROLLS14P,1.1428571428571428
00002,MENTOSWHITEGUM,1.0
00002,MINIMENTOSJAR,1.0
00002,NESCAFEGOLD,8.928571428571429
00002,NUTELLA,4.230769230769231
00002,PG,10.0
00002,PHANTASIA,53.0
00002,RAFAELLO,2.5
00002,RANIFLOAT,6.0
00002,ROCHERS,9.88888888888889
00002,ROULETTE,1.0
00002,RT,5.0
00002,TICTAC,11.0
00002,WORMS,18.75
00003,Alpenliebe,5.5
00003,BARBICAN,56.69230769230769
00003,BIJOUXARG,10.0
00003,BISKREMCACAO,20.0
00003,BISKREMDUO,24.0
00003,CC070106,1.5
00003,CH CH BIG BABOL,1.0
00003,CHAMALLOWS,9.0
00003,CHCHXXL,1.0
00003,CHUPACHUPS,1.0
00003,FILIFOLLY,1.0
00003,FRESHACTIONCUP,1.0
00003,FUNNYMIX,6.0
00003,GAUFRETTELINGOT,6.5
00003,GOLD-BEARS,6.0
00003,HAPPYCOLA,6.5
00003,KAT KAT TAT,1.25
00003,KINDER,2.0476190476190474
00003,Mc vities,2.0
00003,MENTOSBLISTERWHITEGUM,1.0
