client_code,produit_code,produit_nom,qte_moyenne
00002,AL010124,AL010124,1.3333333333333333
00002,BARBICAN,BARBICAN,36.0
00002,BARBICANTURBO,BARBICANTURBO,47.714285714285715
00002,BERRIES,BERRIES,6.4
00002,BIJOUXARG,BIJOUXARG,100.0
00002,BIJOUXOR,BIJOUXOR,10.0
00002,BISKREMCACAO,BISKREMCACAO,27.789473684210527
00002,BISKREMDUO,BISKREMDUO,33.23076923076923
00002,CH CH MELODY,CH CH MELODY,1.0
00002,CHAMALLOWS,CHAMALLOWS,5.0
00002,CHCHBIGBABOL,CHCHBIGBABOL,1.6666666666666667
00002,CHUPACHUPS,CHUPACHUPS,1.0
00002,DUPLO,DUPLO,16.75
00002,FA,FA,10.0
00002,FH,FH,10.0
00002,FRESHACTIONCUP,FRESHACTIONCUP,2.0
00002,FRUIT-TELLA,FRUIT-TELLA,1.625
00002,FUNNYMIX,FUNNYMIX,8.0
00002,GAUFRETTELINGOT,GAUFRETTELINGOT,1.0
00002,GOLD-BEARS,GOLD-BEARS,8.0
00002,GRAINDOR300G,GRAINDOR300G,2.0
00002,GRAINDOR35G,GRAINDOR35G,10.0
00002,HAPPYCHERRIES,HAPPYCHERRIES,6.0
00002,HARIBO,HARIBO,6.0
00002,KINDER,KINDER,25.333333333333332
00002,KITKAT,KITKAT,1.0
00002,Mc vities,Mc vities,2.0
00002,MENTOS3DFINSEAL,MENTOS3DFINSEAL,2.0
00002,MENTOSBLISTERWHITEGUM,MENTOSBLISTERWHITEGUM,2.0
00002,MENTOSPUREFRESH,MENTOSPUREFRESH,1.0
00002,MENTOSROLLS 9P,MENTOSROLLS 9P,1.0
00002,MENTOSROLLS14P,MENTOSROLLS14P,1.4
00002,MENTOSWHITEGUM,MENTOSWHITEGUM,1.6666666666666667
00002,MINIMENTOSJAR,MINIMENTOSJAR,1.0
00002,MIXSTRIPEASSORTIMENT,MIXSTRIPEASSORTIMENT,5.0
00002,NESCAFEGOLD,NESCAFEGOLD,9.615384615384615
00002,NUTELLA,NUTELLA,4.0
00002,PHANTASIA,PHANTASIA,62.4
00002,RAFAELLO,RAFAELLO,2.5
00002,RANIFLOAT,RANIFLOAT,24.0
00002,ROCHERS,ROCHERS,8.153846153846153
00002,ROULETTE,ROULETTE,1.0
00002,TICTAC,TICTAC,8.428571428571429
00002,WORMS,WORMS,13.5
00003,AL010124,AL010124,2.0
00003,BARBICAN,BARBICAN,67.63636363636364
00003,BIJOUXARG,BIJOUXARG,10.0
00003,BISKREMCACAO,BISKREMCACAO,20.0
00003,BISKREMDUO,BISKREMDUO,48.0
00003,CH CH MELODY,CH CH MELODY,1.5
00003,CHAMALLOWS,CHAMALLOWS,11.25
00003,CHCHBIGBABOL,CHCHBIGBABOL,2.0
